ORDER_ID,USER_ID,PROMO_ID,ORDER_DATE,ORDER_SEQ,REDEMPTION_DATE,VALIDITY_TILL_DATE,ORDER_STAUS
OID000001,R00443,9999,14-11-2018,1,,05-09-2020,CLOSED
OID000002,R01941,9999,17-11-2018,1,,03-09-2022,CLOSED
OID000003,R03612,9999,09-12-2018,1,,07-10-2021,CLOSED
OID000004,R04641,9999,10-01-2019,1,,19-11-2019,CLOSED
OID000005,R02283,9999,15-01-2019,1,,28-09-2019,CLOSED
OID000006,R01271,9999,22-01-2019,1,,22-10-2019,CLOSED
OID000007,R02576,9999,30-01-2019,1,,02-11-2019,CLOSED
OID000008,R02895,9999,02-02-2019,1,,21-11-2019,CLOSED
OID000009,R00245,9999,09-02-2019,1,,12-11-2019,CLOSED
OID000010,R04170,9999,12-02-2019,1,,03-11-2019,CLOSED
OID000011,R04766,9999,19-02-2019,1,,22-10-2019,CLOSED
OID000012,R04536,9999,25-02-2019,1,,11-12-2019,CLOSED
OID000013,R03750,9999,26-02-2019,1,,30-11-2019,CLOSED
OID000014,R00276,9999,06-03-2019,1,,06-12-2019,CLOSED
OID000015,R00874,9999,10-03-2019,1,,28-11-2019,CLOSED
OID000016,R02478,9999,10-03-2019,1,,10-01-2020,CLOSED
OID000017,R01429,9999,17-03-2019,1,,06-01-2020,CLOSED
OID000018,R00508,9999,21-03-2019,1,,26-10-2019,CLOSED
OID000019,R00184,9999,22-03-2019,1,,02-02-2020,CLOSED
OID000020,R01037,9999,27-03-2019,1,,30-10-2019,CLOSED
OID000021,R02665,9999,31-03-2019,1,,22-12-2019,CLOSED
OID000022,R03697,9999,03-04-2019,1,,30-12-2019,CLOSED
OID000023,R04448,9999,07-04-2019,1,,18-01-2020,CLOSED
OID000024,R03910,9999,09-04-2019,1,,08-02-2020,CLOSED
OID000025,R04816,9999,10-04-2019,1,,05-12-2019,CLOSED
OID000026,R02558,9999,11-04-2019,1,,26-12-2019,CLOSED
OID000027,R01225,9999,12-04-2019,1,,28-01-2020,CLOSED
OID000028,R02703,9999,12-04-2019,1,,21-12-2019,CLOSED
OID000029,R03404,9999,14-04-2019,1,,05-02-2020,CLOSED
OID000030,R03300,9999,15-04-2019,1,,05-02-2020,CLOSED
OID000031,R01357,9999,15-04-2019,1,,04-01-2020,CLOSED
OID000032,R01432,9999,19-04-2019,1,,26-12-2019,CLOSED
OID000033,R01797,9999,20-04-2019,1,,05-01-2020,CLOSED
OID000034,R03227,9999,20-04-2019,1,,25-12-2019,CLOSED
OID000035,R02193,9999,21-04-2019,1,,16-02-2020,CLOSED
OID000036,R01684,9999,22-04-2019,1,,12-02-2020,CLOSED
OID000037,R01118,9999,24-04-2019,1,,31-01-2020,CLOSED
OID000038,R00521,9999,25-04-2019,1,,16-01-2020,CLOSED
OID000039,R00340,9999,25-04-2019,1,,05-01-2020,CLOSED
OID000040,R00153,9999,26-04-2019,1,,23-01-2020,CLOSED
OID000041,R03637,9999,27-04-2019,1,,15-12-2019,CLOSED
OID000042,R00972,9999,28-04-2019,1,,08-01-2020,CLOSED
OID000043,R02147,9999,29-04-2019,1,,14-01-2020,CLOSED
OID000044,R00752,9999,02-05-2019,1,,03-02-2020,CLOSED
OID000045,R04742,9999,03-05-2019,1,,05-03-2020,CLOSED
OID000046,R04035,9999,03-05-2019,1,,22-01-2020,CLOSED
OID000047,R04194,9999,03-05-2019,1,,02-03-2020,CLOSED
OID000048,R04600,9999,07-05-2019,1,,13-01-2020,CLOSED
OID000049,R04088,9999,07-05-2019,1,,21-02-2020,CLOSED
OID000050,R02024,9999,07-05-2019,1,,28-12-2019,CLOSED
OID000051,R01241,9999,08-05-2019,1,,27-12-2019,CLOSED
OID000052,R03540,9999,08-05-2019,1,,09-02-2020,CLOSED
OID000053,R04267,9999,09-05-2019,1,,31-01-2020,CLOSED
OID000054,R01533,9999,09-05-2019,1,,02-03-2020,CLOSED
OID000055,R01995,9999,09-05-2019,1,,14-12-2019,CLOSED
OID000056,R01286,9999,11-05-2019,1,,11-02-2020,CLOSED
OID000057,R01652,9999,12-05-2019,1,,12-02-2020,CLOSED
OID000058,R02881,9999,13-05-2019,1,,29-01-2020,CLOSED
OID000059,R00607,9999,13-05-2019,1,,12-01-2020,CLOSED
OID000060,R03042,9999,15-05-2019,1,,15-01-2020,CLOSED
OID000061,R00943,9999,16-05-2019,1,,16-01-2020,CLOSED
OID000062,R02468,9999,19-05-2019,1,,18-12-2019,CLOSED
OID000063,R01883,9999,19-05-2019,1,,26-02-2020,CLOSED
OID000064,R00671,9999,25-05-2019,1,,09-02-2020,CLOSED
OID000065,R03131,9999,26-05-2019,1,,03-03-2020,CLOSED
OID000066,R01416,9999,26-05-2019,1,,06-03-2020,CLOSED
OID000067,R03528,9999,26-05-2019,1,,05-03-2020,CLOSED
OID000068,R03430,9999,26-05-2019,1,,11-03-2020,CLOSED
OID000069,R02047,9999,29-05-2019,1,,24-12-2019,CLOSED
OID000070,R04952,9999,30-05-2019,1,,15-02-2020,CLOSED
OID000071,R00306,9999,31-05-2019,1,,17-03-2020,CLOSED
OID000072,R04386,9999,31-05-2019,1,,29-02-2020,CLOSED
OID000073,R02023,9999,31-05-2019,1,,16-03-2020,CLOSED
OID000074,R01895,9999,31-05-2019,1,,03-02-2020,CLOSED
OID000075,R01242,9999,01-06-2019,1,,04-02-2020,CLOSED
OID000076,R03595,9999,01-06-2019,1,,21-02-2020,CLOSED
OID000077,R01909,9999,01-06-2019,1,,06-04-2020,CLOSED
